id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-3965092012,1.0,1.0,1,7,True,1760.8,1760.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.6,0,45000.0,0,0.0,0.0,1.0,1.0,6.0,4687.0,1.0,4.0,3.0,2156.0,1177.0,57.92632032698844,380000.0,3,11900.871459694989,True,False,False,0,0.8776595744680851
MLC-4080595282,2.0,1.0,2,6,True,3913.1,3913.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,50.0,0,80000.0,0,1.0,0.0,1.0,1.0,3.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,600000.0,1,10619.107479572594,True,False,False,1,1.1
MLC-4111970876,1.0,1.0,1,8,True,751.5,751.5,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,36.0,34.0,1,70000.0,1,0.0,0.0,1.0,1.0,13.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,400000.0,2,10515.817469204929,True,False,False,0,1.0588235294117647
MLC-1969407175,1.0,0.0,1,7,True,975.0,975.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,4.0,0.0,40.0,40.0,0,70000.0,0,0.0,0.0,1.0,1.0,15.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,430000.0,2,10175.438596491229,True,False,False,0,1.0
MLC-4126171716,2.0,2.0,3,10,True,2150.0,2150.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,86.0,86.0,1,0.0,0,1.0,0.0,1.0,1.0,1.0,6741.0,4.0,4.0,4.0,1295.0,716.0,36.99002340181459,900000.0,3,12156.862745098038,True,False,False,0,1.0
MLC-1986567935,2.0,1.0,2,1,False,1200.9,1200.9,5.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,56.9,55.0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,6741.0,4.0,4.0,4.0,1295.0,716.0,36.99002340181459,650000.0,3,12111.111111111111,True,False,False,0,1.0345454545454544
MLC-4134298114,2.0,1.0,2,0,True,790.9,790.9,5.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,59.8,58.2,1,110000.0,0,0.0,0.0,1.0,1.0,1.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,670000.0,2,10571.808510638297,True,False,False,0,1.0274914089347078
MLC-4120773568,2.0,0.0,2,8,True,1335.8,1335.8,5.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,52.0,50.0,0,90000.0,1,0.0,0.0,1.0,0.0,2.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,500000.0,4,11000.0,True,False,False,0,1.04
MLC-4109494052,3.0,0.0,5,60,True,617.0,617.0,5.0,5.0,3.0,2.0,1.0,3.0,5.0,2.0,0.0,4.0,0.0,100.0,90.0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,3511.0,1.0,3.0,3.0,1254.0,785.0,100.0,300000.0,2,10220.79772079772,True,False,False,0,1.1111111111111112
MLC-4135249820,2.0,1.0,3,6,True,2201.9,2201.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,57.0,0,37000.0,0,0.0,0.0,0.0,0.0,4.0,5455.0,1.0,4.0,4.0,10400.0,5578.0,70.00755326012411,490000.0,0,10137.45704467354,False,False,False,0,1.0526315789473684
MLC-1996214565,2.0,2.0,2,7,True,1846.6,1846.6,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,58.2,0,80000.0,1,0.0,0.0,1.0,1.0,1.0,4687.0,1.0,4.0,3.0,2156.0,1177.0,57.92632032698844,515000.0,3,10912.371134020617,True,False,False,0,1.0274914089347078
MLC-2005733489,1.0,1.0,1,6,True,1741.5,1741.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,37.6,0,45000.0,0,0.0,0.0,0.0,1.0,3.0,5924.0,2.0,4.0,4.0,3532.0,1915.0,99.99999999999997,370000.0,4,10449.328107502799,True,False,False,0,0.8776595744680851
MLC-2016434407,2.0,1.0,3,0,False,4915.3,4915.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,68.0,0,90000.0,0,1.0,0.0,1.0,1.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,560000.0,4,12142.857142857143,True,False,False,0,1.0588235294117647
MLC-2004401899,1.0,0.0,1,0,True,1594.9,1594.9,5.0,2.0,4.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,40.0,40.0,0,70000.0,1,0.0,0.0,1.0,1.0,1.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,490000.0,4,10500.0,True,False,False,0,1.0
MLC-4044522226,3.0,2.0,4,0,True,1807.2,1807.2,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,114.0,114.0,1,110000.0,0,0.0,0.0,0.0,0.0,4.0,6741.0,4.0,4.0,4.0,1295.0,716.0,36.99002340181459,850000.0,3,10137.45704467354,False,False,False,0,1.0
MLC-4027764476,3.0,2.0,3,7,True,4648.9,4648.9,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,1,90000.0,1,0.0,0.0,1.0,1.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,1000000.0,4,10369.047619047618,True,False,False,0,1.0
