id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,pob_rsh_uv,hog_uv,p_urbano,precio_clp,costo_total_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-2013011439,1.0,0,1,4,True,747.5,747.5,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,37.9,0.0,40000.0,0.0,0.0,0.0,1.0,1.0,4.0,6636.0,4.0,2317.0,1552.0,99.9999999999999,385000.0,425000.0,2,12755.102040816326,True,False,False,0,0.8733509234828497
MLC-4230690202,1.0,1,1,15,True,1445.8,4860.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,1.0,110000.0,1.0,1.0,0.0,1.0,0.0,4.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,400000.0,510000.0,3,11326.671128466121,True,False,True,0,1.125
MLC-4234264150,2.0,1,3,0,False,5269.8,9423.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,116000.0,0.0,0.0,0.0,0.0,0.0,6.0,1859.0,2.0,27535.0,12357.0,68.1398650783455,600000.0,716000.0,0,10620.192307692309,True,False,True,0,1.0
MLC-4234129782,2.0,1,2,2,True,2299.0,3357.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,64.3,1.0,100000.0,1.0,1.0,0.0,1.0,1.0,2.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,800000.0,900000.0,3,11054.091539528432,True,False,True,0,1.3934681181959565
MLC-2013968025,1.0,1,2,0,True,375.2,375.2,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,4.0,0.0,50.0,45.0,0.0,42000.0,0.0,0.0,0.0,1.0,0.0,1.0,5332.0,1.0,4499.0,2404.0,100.0,630000.0,672000.0,2,12178.387650085764,True,False,False,0,1.1111111111111112
MLC-2063351339,2.0,1,2,0,True,1117.0,1117.0,5.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6279.0,3.0,2598.0,1648.0,100.0,520000.0,520000.0,2,11375.0,True,False,False,0,1.0
MLC-4234137234,1.0,0,0,1,True,3240.9,3240.9,5.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,31.4,35.7,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,1.0,6571.0,4.0,1072.0,625.0,89.9626305483346,438258.92000000004,473258.92000000004,0,10980.172689478733,True,False,False,0,0.8795518207282912
MLC-4234030096,1.0,0,1,6,False,676.4,676.4,5.0,5.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,5.0,0.0,33.1,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6768.0,4.0,1656.0,1111.0,100.0,250000.0,250000.0,2,11777.777777777777,True,False,False,0,0.8733509234828497
MLC-4191823136,2.0,1,2,12,True,1461.6,4986.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,63.0,0.0,120000.0,1.0,1.0,0.0,0.0,1.0,8.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,640000.0,760000.0,3,11353.03265940902,True,False,True,0,1.1111111111111112
MLC-2016092561,2.0,1,2,9,False,1162.2,1162.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,50.0,1.0,80000.0,1.0,0.0,0.0,1.0,1.0,4.0,6382.0,3.0,2472.0,1579.0,44.7477970543667,570000.0,650000.0,4,11873.35092348285,True,False,False,0,1.04
MLC-4234137922,1.0,1,1,5,True,3913.1,3913.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,55000.0,0.0,1.0,0.0,1.0,1.0,3.0,6684.0,4.0,6833.0,3079.0,90.5171296845883,410000.0,465000.0,4,12379.006913890635,True,False,False,0,1.0
MLC-4191870164,2.0,1,3,2,True,716.1,716.1,5.0,5.0,5.0,3.0,3.0,3.0,5.0,2.0,0.0,5.0,0.0,89.0,85.0,0.0,100000.0,0.0,0.0,0.0,1.0,1.0,16.0,6636.0,4.0,2317.0,1552.0,99.9999999999999,800000.0,900000.0,2,12550.256208119827,True,False,False,0,1.0470588235294118
